证券代码,历史简称
600138,"青旅控股,中青旅,G中青旅,中青旅"
600141,"G兴发,兴发集团"
600143,"G金发,金发科技"
600148,"长春一东,G一东,长春一东"
600149,"华夏建通,S华夏通,华夏建通,ST建通,*ST建通,ST廊发展,廊坊发展,*ST坊展,ST坊展,廊坊发展"
600150,"ST重机,沪东重机,G重机,沪东重机,中国船舶,*ST船舶,中国船舶"
600151,"G航天,航天机电"
600152,"维科精华,G维科,维科精华,维科技术"
600153,"建发股份,G建发,建发股份"
600155,"G宝硕,宝硕股份,*ST宝硕,宝硕股份,华创阳安,华创云信"
600156,"*ST鑫泰,益鑫泰,华升股份,G华升,华升股份"
600157,"S鲁润,鲁润股份,永泰能源,*ST永泰,ST永泰,永泰能源"
600158,"S中体产,中体产业"
600159,"*ST宁窖,ST宁窖,*ST宁窖,ST宁窖,GST宁窖,G大龙,大龙地产"
600160,"G巨化,巨化股份"
600161,"G天坛,天坛生物"
600162,"香江控股,S香江控,香江控股"
600163,"G南纸,福建南纸,*ST南纸,*ST闽能,中闽能源"
600165,"G宁恒力,宁夏恒力,新日恒力,宁科生物"
600166,"福田汽车,G福田,福田汽车"
600167,"ST黎明,ST沈新开,沈阳新开,S沈新开,沈阳新开,联美控股"
600168,"武汉控股,G武控,武汉控股"
600169,"G太重,太原重工"
600170,"G建工,上海建工"
600171,"G贝岭,上海贝岭"
600172,"G旋风,黄河旋风"
600173,"*ST丹江,S*ST丹江,ST丹江,ST卧龙,卧龙地产"
600176,"中国玻纤,G玻纤,中国玻纤,中国巨石"
600177,"G雅戈尔,雅戈尔"
600178,"G东安,东安动力,*ST东安,东安动力"
600179,"G黑化,黑化股份,*ST黑化,ST黑化,黑化股份,ST黑化,*ST黑化,黑化股份,安通控股,ST安通,*ST安通,安通控股"
600180,"G九发,九发股份,*ST九发,ST九发,九发股份,瑞茂通"
600182,"ST桦林,*ST桦林,桦林轮胎,佳通轮胎,S佳通,SST佳通,S*ST佳通,S佳通"
600183,"生益科技,G生益,生益科技"
600184,"S新华光,新华光,光电股份"
600185,"G海星,海星科技,*ST海星,格力地产"
600186,"S莲花味,莲花味精,莲花健康,*ST莲花,莲花健康"
600187,"*ST黑龙,S*ST黑龙,ST黑龙,ST国中,国中水务"
600188,"G兖煤,兖州煤业,兖矿能源"
600189,"G森工,吉林森工,泉阳泉"
600190,"ST锦州港(ST锦港B),锦州港(锦港B股),G锦州港,锦州港"
600191,"G华资,华资实业,*ST华资,华资实业"
600192,"G电工,长城电工"
600193,"创兴科技,G创兴,创兴科技,创兴置业,创兴资源,*ST创兴,ST创兴,创兴资源"
600195,"G中牧,中牧股份"
600196,"复星医药,G复星,复星医药"
600197,"G伊力特,伊力特"
600198,"G大唐,大唐电信,*ST大唐,ST大唐,大唐电信,*ST大唐,大唐电信,*ST大唐,大唐电信"
600199,"*ST金牛,ST金牛,GST金牛,GST种子,ST金种子,金种子酒"
600200,"G吴中,江苏吴中"
600201,"G金宇,金宇集团,生物股份"
600202,"G哈空调,哈空调,*ST哈空,哈空调"
600203,"*ST福日,ST福日,福日股份,G福日,福日股份,福日电子,*ST福日,ST福日,福日电子"
600206,"G有研,有研硅股,有研新材"
600207,"G安彩,安彩高科,*ST安彩,ST安彩,安彩高科"
600208,"中宝股份,G中宝,中宝股份,新湖中宝"
600210,"G紫江,紫江企业"
600211,"S藏药业,西藏药业"
600212,"G江泉,江泉实业,*ST江泉,江泉实业,*ST江泉,江泉实业,*ST江泉,江泉实业,绿能慧充"
600213,"*ST亚星,S*ST亚星,*ST亚星,ST亚星,亚星客车"
600215,"S长经开,长春经开,*ST经开,长春经开,派斯林"
600216,"G浙医药,浙江医药"
600217,"G秦岭,秦岭水泥,*ST秦岭,ST秦岭,*ST秦岭,ST秦岭,秦岭水泥,*ST秦岭,秦岭水泥,中再资环"
600218,"G全柴,全柴动力"
600219,"G南山,南山实业,南山铝业"
600220,"G苏阳光,江苏阳光"
600221,"G海航,海南航空,海航控股(海控B股),*ST海航(*ST海航B),ST海航（ST海航B）,海航控股(海控B股)"
600222,"竹林众生,太龙药业,G太龙,太龙药业"
600223,"万杰高科,G万杰,万杰高科,*ST万杰,ST万杰,ST鲁置业,鲁商置业,鲁商发展,福瑞达"
600225,"天香集团,*ST天香,S*ST天香,ST天香,ST松江,天津松江,*ST松江,天津松江,*ST松江,天津松江,卓朗科技"
600226,"G拜克,升华拜克,瀚叶股份,*ST瀚叶,ST瀚叶,瀚叶股份"
600227,"G赤天化,赤天化,圣济堂,赤天化"
600228,"昌九生化,G昌九,昌九生化,*ST昌九,ST昌九,昌九生化,*ST昌九,昌九生化,*ST昌九,ST昌九,昌九生化,返利科技"
600229,"G碱业,青岛碱业,城市传媒"
600230,"G沧大,沧州大化,*ST沧大,沧州大化"
600231,"G凌钢,凌钢股份"
600232,"G金鹰,金鹰股份"
600233,"大连创世,大杨创世,G大杨,大杨创世,圆通速递"
600234,"ST天龙,*ST天龙,ST天龙,*ST天龙,S*ST天龙,*ST天龙,ST天龙,*ST天龙,ST天龙,*ST天龙,*ST山水,山水文化,*ST山水,ST山水,*ST山水,ST山水,山水文化,科新发展"
600235,"G特纸,民丰特纸"
600236,"G桂冠,桂冠电力"
600237,"G铜峰,铜峰电子"
600238,"G椰岛,海南椰岛,*ST椰岛,ST椰岛,海南椰岛"
600239,"S红河,S城投,云南城投,*ST云城,ST云城,云南城投"
600241,"G辽时代,辽宁时代,时代万恒,*ST时万,ST时万,时代万恒"
600243,"S华鼎,青海华鼎,*ST海华,青海华鼎"
600246,"G先锋,先锋股份,万通先锋,万通地产,万通发展"
600248,"*ST秦丰,S*ST秦丰,*ST秦丰,ST化建,延长化建,陕西建工,陕建股份"
600249,"G两面针,两面针"
600250,"G宁南纺,南纺股份,*ST南纺,南纺股份"
600251,"G冠农,冠农股份"
600252,"梧州中恒,中恒集团,S中恒,中恒集团"
600255,"G鑫科,鑫科材料,梦舟股份,*ST梦舟,*ST鑫科,鑫科材料"
600256,"G广汇,广汇股份,广汇能源"
600257,"G水殖,洞庭水殖,大湖股份"
600258,"S首旅,首旅股份,首旅酒店"
600259,"*ST聚酯,S*ST聚酯,ST聚酯,ST有色,广晟有色"
600261,"G浙阳光,浙江阳光,阳光照明"
600262,"G北重,北方股份"
600265,"G景谷,景谷林业,ST景谷,*ST景谷,ST景谷,*ST景谷,ST景谷,*ST景谷,ST景谷"
600266,"Ｇ城建,北京城建,城建发展"
600267,"G海正,海正药业"
600268,"G南自,国电南自"
600269,"G赣粤,赣粤高速"
600271,"G航信,航天信息"
600272,"S开开,开开实业"
600273,"G华芳,华芳纺织,嘉化能源"
600276,"G恒瑞,恒瑞医药"
600277,"G亿利,亿利科技,亿利能源,亿利洁能"
600278,"G东创,东方创业"
600279,"G重庆港,重庆港九,重庆港"
600280,"G宁中商,南京中商,中央商场,*ST中商,中央商场"
600281,"*ST太化,ST太化,太化股份,华阳新材"
600282,"S南钢,南钢股份,*ST南钢,南钢股份"
600283,"S钱江水,钱江水利"
600284,"G浦建,浦东建设"
600285,"G羚锐,羚锐股份,羚锐制药"
600287,"G舜天,江苏舜天"
600288,"G大恒,大恒科技"
600289,"G信通,亿阳信通,ST信通,*ST信通,ST信通"
600290,"S苏福马,华仪电气,ST华仪,*ST华仪,ST华仪,*ST华仪"
600292,"G九电,九龙电力,中电远达,远达环保"
600293,"G三峡,三峡新材"
600295,"G鄂绒,鄂尔多斯,鄂资B股"
600297,"S美罗,美罗药业,广汇汽车"
600298,"G安琪,安琪酵母"
600299,"G新材料,星新材料,蓝星新材,*ST新材,ST新材,蓝星新材,*ST新材,蓝星新材,安迪苏"
600300,"G维维,维维股份,ST维维,维维股份"
600301,"G南化,南化股份,*ST南化,ST南化,南化股份,*ST南化,ST南化,*ST南化,ST南化,*ST南化,南化股份,华锡有色"
600302,"G标准,标准股份"
600303,"G曙光,曙光股份,ST曙光"
600305,"G恒顺,恒顺醋业"
600306,"G商业城,商业城,*ST商城,商业城,*ST商城,商业城,*ST商城,ST商城,*ST商城"
600307,"G酒钢,酒钢宏兴"
600308,"G华泰,华泰股份"
600309,"G万华,烟台万华,万华化学"
600310,"G桂东,桂东电力,广西能源"
600312,"G平高,平高电气"
600313,"ST中农,*ST中农,中农资源,ST中农,SST中农,ST中农,*ST中农,ST中农,中农资源,农发种业"
600315,"G家化,上海家化"
600316,"G洪都,洪都航空"
600318,"S巢东,巢东股份,新力金融"
600319,"G亚星,亚星化学,*ST亚星,亚星化学,*ST亚星,亚星化学,ST亚星,*ST亚星,亚星化学"
600320,"G振华,振华港机,振华重工"
600321,"G国栋,国栋建设,正源股份,*ST正源,ST正源,正源股份"
600322,"G天房,天房发展"
600323,"G南海,南海发展,瀚蓝环境"
600325,"G华发,华发股份"
600326,"G藏天路,西藏天路"
600327,"G大厦,大厦股份,大东方"
600328,"G兰太,兰太实业,中盐化工"
600329,"G中新,中新药业,*ST中新,中新药业,达仁堂"
600330,"G天通,天通股份"
600331,"G宏达,宏达股份"
600332,"G广药,广州药业,白云山(白云山)"
600333,"S长燃,长春燃气"
600335,"*ST中发,*ST盛工,ST盛工,鼎盛天工,S鼎盛天,鼎盛天工,*ST盛工,国机汽车"
600336,"G澳柯玛,澳柯玛"
600337,"G美克,美克股份,美克家居"
600338,"ST珠峰,*ST珠峰,ST珠峰,SST珠峰,ST珠峰,*ST珠峰,西藏珠峰"
600339,"G天利,天利高新,*ST天利,*ST油工,中油工程"
600340,"G国祥,国祥股份,*ST国祥,ST国祥,华夏幸福"
600343,"G航动力,航天动力"
600345,"G长通,长江通信"
600346,"G大橡塑,大橡塑,*ST橡塑,恒力股份,恒力石化"
600348,"G国阳,国阳新能,阳泉煤业,华阳股份"
600350,"G基建,G鲁高速,山东高速"
600351,"G亚宝,亚宝药业"
600352,"G龙盛,浙江龙盛"
600353,"S旭光,旭光股份,旭光电子"
600354,"G敦种,敦煌种业,*ST敦种,敦煌种业"
600355,"G精伦,精伦电子,*ST精伦,ST精伦,精伦电子"
600356,"G恒丰,恒丰纸业"
600358,"G国旅,国旅联合,*ST联合,国旅联合,*ST联合,国旅联合"
600359,"G新农,新农开发,*ST新农,新农开发"
600360,"G华微,华微电子"
600361,"华联综超,G综超,华联综超,创新新材"
600362,"G江铜,江西铜业"
600363,"G联创,联创光电"
600365,"通葡股份,G通葡酒,通葡股份,*ST通葡,通葡股份,ST通葡"
600366,"G韵升,宁波韵升"
600367,"G红星,红星发展"
600368,"G交通,五洲交通"
600369,"*ST长运,ST长运,GST长运,ST长运,*ST长运,西南证券"
600370,"G三房巷,三房巷"
600371,"G华冠,华冠科技,万向德农"
600372,"G昌河,昌河股份,*ST昌河,ST昌河,中航电子"
600373,"G鑫新,鑫新股份,*ST鑫新,中文传媒"
600375,"G星马,星马汽车,华菱星马,*ST星马,华菱星马,汉马科技"
600376,"G天鸿宝,天鸿宝业,首开股份"
600377,"G宁沪,宁沪高速"
600378,"S天科,天科股份,昊华科技"
600379,"S宝光,宝光股份"
600380,"健康元,S健康元,健康元"
600381,"贤成实业,S贤成,贤成实业,*ST贤成,ST贤成,贤成矿业,ST贤成,*ST贤成,贤成矿业,青海春天,ST春天,青海春天"
600382,"G粤明珠,广东明珠,*ST广珠,ST广珠,广东明珠"
600383,"G金地,金地集团"
600386,"G北巴,北京巴士,*ST北巴,北京巴士,北巴传媒"
600387,"S海越,海越股份,海越能源,ST海越,海越能源,ST海越"
600388,"G龙净,龙净环保,ST龙净"
600389,"G江山,江山股份"
600390,"G金瑞,金瑞科技,*ST金瑞,五矿资本"
600391,"G成发,成发科技,航发科技"
600392,"G天成,太工天成,*ST天成,盛和资源"
600393,"G东华,东华实业,粤泰股份,ST粤泰,粤泰股份,ST粤泰"
600395,"G盘江,盘江股份"
600396,"G金山,金山股份,*ST金山,金山股份,*ST金山"
600397,"G安源,安源股份,安源煤业,*ST安煤,安源煤业"
600398,"凯诺科技,G凯诺,凯诺科技,海澜之家"
600399,"G抚钢,抚顺特钢,*ST抚钢,ST抚钢,抚顺特钢"
600400,"G红豆,红豆股份"
600403,"G欣网,欣网视讯,大有能源,*ST大有,大有能源,ST大有,大有能源"
600405,"G动力源,动力源"
600406,"S南瑞,国电南瑞"
600408,"G安泰,安泰集团,*ST安泰,安泰集团,*ST安泰,ST安泰,安泰集团"
600409,"G唐三友,三友化工"
600410,"G华胜,华胜天成"
600415,"G小商品,小商品城"
600416,"G湘电,湘电股份,*ST湘电,湘电股份"
600418,"江淮汽车,G江汽,江淮汽车"
600419,"*ST天宏,G*ST天宏,*ST天宏,ST天宏,*ST天宏,ST天宏,新疆天宏,天润乳业"
600420,"G现代,现代制药,国药现代"
600421,"国药科技,G国药,春天股份,国药科技,ST国药,*ST国药,ST国药,*ST国药,国药科技,仰帆控股,ST仰帆,*ST仰帆,ST仰帆,ST华嵘,华嵘控股"
600422,"G昆药,昆明制药,昆药集团"
600423,"G柳化,柳化股份,*ST柳化,ST柳化,柳化股份"
600425,"G青松,青松建化,*ST青松,青松建化"
600426,"G恒升,华鲁恒升"
600428,"G中远,中远航运,中远海特"
600429,"G三元,G*ST三元,*ST三元,ST三元,三元股份"
600433,"G冠豪,冠豪高新"
600435,"G天鸟,北方天鸟,中兵光电,北方导航"
600436,"G片仔癀,片仔癀"
600438,"G通威,通威股份"
600439,"G瑞贝卡,瑞贝卡"
600444,"G国通,国通管业,*ST国通,ST国通,国通管业,*ST国通,国通管业,*ST国通,国机通用"
600446,"G金证,金证股份"
600448,"G华纺,华纺股份"
600449,"G赛马,赛马实业,宁夏建材"
600452,"G涪电力,涪陵电力"
600455,"G博通,交大博通,*ST博通,ST博通,博通股份"
600456,"G宝钛,宝钛股份"
600458,"G时代,时代新材"
600459,"G贵研,贵研铂业"
600460,"G士兰微,士兰微"
600461,"G水业,洪城水业,洪城环境"
600462,"S石纸,石岘纸业,*ST石岘,ST石岘,*ST石岘,石岘纸业,九有股份,ST九有,*ST九有,ST九有"
600463,"G空港,空港股份"
600467,"G好当家,好当家"
600468,"百利电气,G百利,百利电气"
600469,"G风神,风神股份"
600470,"G六国,六国化工,*ST六化,六国化工"
600475,"G华光,华光股份,华光环能"
600476,"G湘邮,湘邮科技"
600477,"G杭萧,杭萧钢构"
600478,"S力元,力元新材,科力远"
600479,"G千金,千金药业"
600480,"G凌云,凌云股份"
600481,"G双良,双良股份,双良节能"
600482,"G风帆,风帆股份,中国动力"
600483,"G南纺,福建南纺,福能股份"
600486,"G扬农,扬农化工"
600487,"G亨通,亨通光电"
600488,"G天药,天药股份,津药药业"
600489,"G中黄金,中金黄金"
600490,"G中科,中科合臣,*ST合臣,ST合臣,中科合臣,鹏欣资源"
600491,"G龙元,龙元建设"
600493,"G凤竹,凤竹纺织"
600495,"G晋西,晋西车轴"
600496,"长江精工,G精工钢,长江精工,精工钢构"
600497,"G驰宏,驰宏锌锗"
600498,"G烽火,烽火通信"
600499,"G粤科达,科达机电,科达洁能,科达制造"
600500,"G中化,中化国际"
600501,"G晨光,航天晨光"
600502,"G水利,安徽水利,安徽建工"
600503,"ST宏智,*ST宏智,ST宏智,ST新智,*ST新智,ST新智,SST新智,S华丽,华丽家族"
600505,"S西昌电,西昌电力"
600506,"G香梨,香梨股份,*ST香梨,ST香梨,香梨股份,*ST香梨,香梨股份,统一股份"
600507,"G长力,长力股份,方大特钢"
600508,"G上能,上海能源"
600509,"G天富,天富热电,天富能源"
600510,"G黑牡丹,黑牡丹"
600511,"G中国药,国药股份"
600512,"G腾达,腾达建设"
600513,"G联环,联环药业"
600515,"ST一投,*ST一投,S*ST一投,*ST一投,ST一投,ST筑信,*ST筑信,ST筑信,ST海建,海岛建设,海航基础,*ST基础,ST基础,海航基础,海南机场"
600516,"*ST海龙,S*ST海龙,*ST海龙,*ST方大,ST方大,方大炭素"
600517,"G置信,置信电气,国网英大"
600518,"G康美,康美药业,ST康美,*ST康美,ST康美"
600519,"G茅台,贵州茅台"
600520,"三佳科技,G三佳,三佳科技,中发科技,*ST中发,中发科技,文一科技"
600521,"G华海,华海药业"
600522,"G中天,中天科技"
600523,"G贵航,贵航股份"
600525,"G长园,长园新材,长园集团"
600526,"G菲达,菲达环保,*ST菲达,菲达环保"
600527,"G高纤,江南高纤"
600528,"G中铁,中铁二局,中铁工业"
600529,"G药玻,山东药玻"
600530,"G昂立,交大昂立,*ST交昂,交大昂立,*ST交昂"
600531,"G豫光,豫光金铅"
600533,"G栖霞,栖霞建设"
600535,"G天士力,天士力"
600536,"中国软件,G中软,中国软件"
600537,"G海通,海通集团,亿晶光电"
600538,"G国发,北海国发,*ST国发,ST国发,北海国发,*ST国发,北海国发,国发股份"
600539,"S狮头,狮头股份,ST狮头,狮头股份,*ST狮头,狮头股份,ST狮头,狮头股份,*ST狮头,ST狮头,狮头股份"
600540,"G新赛,新赛股份,*ST新赛,新赛股份"
600543,"G莫高,莫高股份,*ST莫高"
600545,"G新城建,新疆城建,卓郎智能"
600546,"G中化建,中油化建,山煤国际,*ST山煤,山煤国际"
600547,"G鲁黄金,山东黄金"
600548,"G深高速,深高速"
600549,"G厦钨,厦门钨业"
600550,"G天威,天威保变,*ST天威,保变电气"
600551,"G创新,科大创新,时代出版"
600552,"G方兴,方兴科技,*ST方兴,方兴科技,凯盛科技"
600556,"G北生,北生药业,ST北生,*ST北生,ST北生,*ST北生,北生药业,慧球科技,ST慧球,天下秀"
600557,"G康缘,康缘药业"
600558,"G大西洋,大西洋"
600559,"G裕丰,裕丰股份,老白干酒"
600560,"G金自,金自天正"
600561,"G长运,江西长运"
600562,"G高陶,高淳陶瓷,*ST高陶,ST高陶,高淳陶瓷,国睿科技"
600563,"G法拉,法拉电子"
600565,"G迪马,迪马股份"
600566,"Ｇ洪城,洪城股份,济川药业"
600567,"G山鹰,山鹰纸业,山鹰国际"
600568,"G潜药,潜江制药,*ST潜药,ST潜药,中珠控股,中珠医疗,*ST中珠,ST中珠"
600569,"G安钢,安阳钢铁"
600570,"G恒生,恒生电子"
600571,"G信雅达,信雅达"
600572,"G康恩贝,康恩贝"
600573,"G惠泉,惠泉啤酒"
600575,"G芜湖港,芜湖港,皖江物流,淮河能源"
600576,"*ST庆丰,S*ST庆丰,*ST庆丰,万好万家,万家文化,祥源文化,祥源文旅"
600577,"G精达,精达股份"
600578,"G京能,京能热电,京能电力"
600579,"S黄海,黄海股份,*ST黄海,ST黄海,*ST黄海,天华院,克劳斯"
600580,"G卧龙,卧龙科技,卧龙电气,卧龙电驱"
600581,"G八一,八一钢铁,*ST八钢,八一钢铁"
600582,"S天地,天地科技"
600583,"G海工,海油工程"
600584,"G苏长电,长电科技"
600585,"G海螺,海螺水泥"
600586,"G金晶,金晶科技"
600587,"G新华医,新华医疗"
600588,"G用友,用友软件,用友网络"
600589,"G榕泰,广东榕泰,ST榕泰,*ST榕泰"
600590,"G泰豪,泰豪科技"
600592,"G龙溪,龙溪股份"
600593,"G圣亚,大连圣亚,*ST圣亚,大连圣亚"
600594,"G益佰,益佰制药"
600595,"G中孚,中孚实业,*ST中孚,ST中孚,*ST中孚,ST中孚,中孚实业"
600596,"G新安,新安股份"
600598,"G北大荒,北大荒,*ST大荒,北大荒"
600599,"S花炮,浏阳花炮,*ST花炮,浏阳花炮,熊猫烟花,熊猫金控,*ST熊猫,ST熊猫"
600600,"S青岛啤,青岛啤酒"
600601,"方正科技,ST方科,*ST方科,方正科技"
600602,"广电电子(上电B股),G电子,广电电子,仪电电子（仪电B股）,云赛智联（云赛B股）"
600603,"ST兴业,*ST兴业,ST兴业,*ST兴业,大洲兴业,*ST兴业,大洲兴业,广汇物流"
600604,"G二纺机,二纺机,*ST二纺(*ST二纺B),ST二纺(ST二纺B),*ST二纺(*ST二纺B),二纺机(二纺B股),市北高新(市北B股)"
600605,"G轻机,轻工机械,汇通能源"
600606,"ST嘉丰,金丰投资,G金丰,金丰投资,绿地控股"
600608,"一钢异型,上海科技,S沪科技,S*ST沪科,*ST沪科,ST沪科,*ST沪科,ST沪科,上海科技,*ST沪科,ST沪科,上海科技,*ST沪科,ST沪科"
600609,"一汽金杯,金杯汽车,*ST金杯,G*ST金杯,*ST金杯,ST金杯,金杯汽车,*ST金杯,ST金杯,金杯汽车"
600610,"ST中纺机(ST中纺B),中国纺机(中纺B股),S中纺机,S*ST中纺(S*ST纺B),SST中纺(ST中纺B),S中纺机(中纺B股),S*ST中纺(*ST中纺B),*ST中纺,*ST中毅（*ST中毅B）,中毅达（中毅达B）,*ST毅达(*ST毅达B),ST毅达(ST毅达B),中毅达(中毅达B)"
600611,"大众交通,G沪大众,大众交通"
600612,"G中铅,第一铅笔,中国铅笔,老凤祥（老凤祥B）"
600613,"永生股份,永生数据,*ST永生(*ST永生B),永生数据(永生B股),G永生,永生数据,永生投资,神奇制药(神奇B股)"
600615,"丰华股份,*ST丰华,ST丰华,SST丰华,ST丰华,丰华股份,ST丰华,丰华股份,*ST丰华,丰华股份"
600616,"G食品,第一食品,金枫酒业"
600617,"ST联华(ST联华B),*ST联华(*ST联华B),S*ST联华,*ST联华,联华合纤(联华B股),ST联华（ST联华B）,*ST联华（*ST联华B）,ST联华（ST联华B）,*ST联华(*ST联华B),联华合纤（联华B股）,国新能源（国新B股）"
600618,"G氯碱,氯碱化工"
600619,"海立股份(海立B股),G海立,海立股份"
600620,"天宸股份,G天宸,天宸股份"
600621,"上海金陵,G金陵,上海金陵,华鑫股份"
600622,"ST嘉宝,嘉宝集团,G嘉宝,嘉宝集团,光大嘉宝"
600623,"G轮胎,轮胎橡胶,双钱股份(双钱B股),华谊集团（华谊B股）"
600624,"复旦复华,G复华,复旦复华"
600626,"G申达,申达股份"
600628,"G新世界,新世界"
600629,"ST棱光,*ST棱光,S*ST棱光,*ST棱光,ST棱光,棱光实业,华建集团"
600630,"G龙头,龙头股份"
600633,"ST双鹿,PT双鹿,PT白猫,白猫股份,G白猫,白猫股份,*ST白猫,浙报传媒,浙数文化"
600635,"大众科创,大众公用,G大众,大众公用"
600636,"G三爱富,三爱富,*ST爱富,三爱富,国新文化"
600637,"广电信息,G上广电,广电信息,百视通,东方明珠"
600638,"新黄浦,G新黄浦,新黄浦"
600639,"G金桥,浦东金桥"
600640,"国脉通信,联通国脉,中卫国脉,G国脉,中卫国脉,号百控股,新国脉,国脉文化"
600641,"中远发展,万业企业,G万业,万业企业"
600642,"G申能,申能股份"
600643,"S爱建,爱建股份,爱建集团"
600644,"S乐电,乐山电力,*ST乐电,乐山电力"
600645,"*ST春花,S*ST春花,*ST春花,ST望春花,ST协和,ST中源,中源协和"
600647,"粤海发展,ST粤海发,ST同达,同达创业,G同达,同达创业,*ST同达"
600648,"G外高桥,外高桥"
