标题,内容,发布时间,发布日期,提取证券名称,匹配证券代码
2023年气候雄心峰会举行 古特雷斯呼吁各国在气候变化方面加快行动,【2023年气候雄心峰会举行 古特雷斯呼吁各国在气候变化方面加快行动】财联社9月21日电，2023年气候雄心峰会于当地时间9月20日在联合国总部举行，时值第78届联合国大会高级别会议周。联合国秘书长古特雷斯在会上的发言中再次敦促各成员国在气候变化方面加快节奏，将计划转为行动。古特雷斯在发言中指出，在气候变化方面，现在的重点是气候解决方案。他表示，高温、洪水等极端天气事件给人类带来严重的灾难。如果不作出任何改变，全球气温将上升2.8摄氏度，世界将走向危险和不稳定。这就需要全球领导人在减少碳排放、从化石燃料向可再生能源转变、气候正义、推动全球金融体系支持气候行动方面采取切实行动。,04:55:33,2023-09-21,,
波兰总理称将不再向乌克兰提供武器,【波兰总理称将不再向乌克兰提供武器】财联社9月21日电，波兰总理莫拉维茨基当地时间20日表示，将不再向乌克兰提供武器。莫拉维茨基在接受当地媒体采访被问及是否将继续在军事上支持乌克兰时做出了上述表态。,04:50:27,2023-09-21,,
Nick Timiraos：仍有多名美联储官员一直不愿表明结束加息,【Nick Timiraos：仍有多名美联储官员一直不愿表明结束加息】财联社9月21日电，“美联储传声筒”Nick Timiraos在美联储公布利率决议后发文指出，仍有多名美联储官员一直不愿表明结束加息。官员担心，更为强劲的经济活动以及石油和货运价格的上涨可能导致最近的通胀下降停滞甚至逆转，从而需要上调利率。他们担心，在未来几个月结束加息后，才发现自己做得还不够。如果金融市场得出通胀和利率已经趋平的结论，结果却发现情况恰恰相反，那么这种局面可能尤其具有破坏性。,04:46:39,2023-09-21,Nick T,
亚美尼亚称阿塞拜疆炮击亚方阵地 阿方称消息不实,【亚美尼亚称阿塞拜疆炮击亚方阵地 阿方称消息不实】财联社9月21日电，亚美尼亚国防部当地时间20日发布消息称，阿塞拜疆部队于当天22时50分左右炮击了亚美尼亚武装部队位于索特克方向的阵地。阿塞拜疆国防部对此回应称，亚美尼亚国防部发布的消息不实。 (央视新闻),04:37:50,2023-09-21,,
,财联社9月21日电，现货黄金抹去涨幅，较日高回落17美元，现报1931.5美元/盎司。,04:27:06,2023-09-21,,
联邦快递第一财季营收略低于预期 但上调全年调整后每股收益预期,【联邦快递第一财季营收略低于预期 但上调全年调整后每股收益预期】财联社9月21日电， 联邦快递第一财季营收217亿美元，分析师预期218.4亿美元；第一财季调整后运营利润15.9亿美元，分析师预期13.4亿美元；预计全年调整后每股收益为17.00-18.50美元，公司原本预计16.50-18.50美元；预计全年营收将持平于上年；维持全年资本开支预期在57亿美元不变，分析师预期57.2亿美元；预计将在2024财年追加15亿美元股票回购。,04:09:53,2023-09-21,,
热门中概股多数下跌 小鹏汽车跌超6%,【热门中概股多数下跌 小鹏汽车跌超6%】财联社9月21日电，热门中概股多数下跌，纳斯达克中国金龙指数跌0.90%。小鹏汽车跌超6%，拼多多跌超3%，网易、爱奇艺、满帮跌超2%，唯品会、腾讯音乐、阿里巴巴、哔哩哔哩、百度跌超1%，京东、微博小幅下跌。蔚来涨超3%，富途控股涨超1%，理想汽车小幅上涨。,04:01:19,2023-09-21,,
美股三大指数集体收跌 Instacart上市次日盘中破发,【美股三大指数集体收跌 Instacart上市次日盘中破发】财联社9月21日电，美联储暂停加息，符合市场预期。美股三大指数集体收跌。纳指跌1.53%，标普500指数跌0.94%，道指跌0.22%。线上食品杂货配送公司Instacart跌超10%，盘中一度跌穿30美元的美国IPO发行价。大型科技股普跌，谷歌跌超3%，奈飞、微软、英伟达、苹果等跌逾2%，亚马逊、Meta、特斯拉跌超1%。波士顿营销自动化平台科技供应商Klaviyo美国IPO首日涨超9%。,04:00:35,2023-09-21,,
,财联社9月21日电，据国际文传电讯社，俄罗斯可能会征收与卢布汇率挂钩的新出口税。,03:58:51,2023-09-21,,
,财联社9月21日电，利率互换价格显示出更高的美联储峰值利率，2024年1月份达到5.49%。,03:55:48,2023-09-21,,
国内金价迭创新高 上游矿企忙“淘金”、下游拓店抢市场,【国内金价迭创新高 上游矿企忙“淘金”、下游拓店抢市场】财联社9月21日电，9月以来，国内黄金价格涨势明显，沪金不断刷新历史最高点。9月15日，上海期货交易所沪金主连合约盘中一度达到480.26元/克，创2008年上市以来新高。截至目前，沪金主连合约年内累计涨幅近15%。伴随着国内金价持续走高，上游矿端的多家黄金企业纷纷扩能增储，干劲十足。国内“购金热”下，众多黄金饰品企业也加快了并购及扩店速度，积极抢占市场。“下半年是黄金珠宝行业的销售旺季，公司对产品销售充满信心。”中国黄金日前在接受机构调研时表示，将紧抓黄金珠宝销售热点时期，加大渠道建设及产品研发力度，全力以赴拓展新店，提升品牌形象及市场占有率。 (上证报),03:53:37,2023-09-21,,
美银CFO称消费者持续支出决定了美国难以陷入衰退,【美银CFO称消费者持续支出决定了美国难以陷入衰退】财联社9月21日电，美国银行首席财务官表示，在消费者支出强劲的情况下，美国陷入衰退的可能正变得越来越低。“在消费者支出同比增长4%的时候是很难看到美国衰退的，” Alastair Borthwick在美银周三主办的一个年会上说，“共识会认为非常小的衰退，被赶走了。”Borthwick表示，美国消费者仍在花钱购买商品和旅游，信用卡和借记卡付款都维持在高位。与此同时，消费资产质量仍然“非常强劲”。“,03:48:37,2023-09-21,,
“新债王”冈拉克：在加息问题上观望是正确的决定,【“新债王”冈拉克：在加息问题上观望是正确的决定】财联社9月21日电，“新债王”冈拉克表示，这是现阶段美联储最好的利率决定之一；在我看来，在加息问题上观望是正确的决定；经济在接下来的4-6个月内可能会迅速放缓；当前，短期美国国债相当具有吸引力；债券的下一轮上涨不会持续太长时间；2024年上半年可能降息。,03:33:08,2023-09-21,“新债王”冈,
,财联社9月21日电，美股尾盘持续下跌，纳指跌超1%，标普500指数跌0.65%，道指涨幅缩窄至0.05%。,03:33:00,2023-09-21,,
美联储FOMC声明及主席鲍威尔新闻发布会要点总结：暂停加息 上调美国GDP增长预期,"【美联储FOMC声明及主席鲍威尔新闻发布会要点总结：暂停加息 上调美国GDP增长预期】
一、利率方面：
①美联储将联邦基金利率目标维持在5.25%至5.50%的区间不变。
②美联储主席鲍威尔表示，如果合适，准备进一步提高利率；将会逐次会议做出决策。
③FOMC声明显示，12位官员预计今年还会加息一次，7位官员预计维持不变。
④美联储掉期显示交易员将首次降息推迟到明年九月份。
⑤FOMC声明显示，将隔夜逆回购利率维持在5.30%不变。
⑥美联储主席鲍威尔表示，美联储在今年最后两次会议上做出的决策将取决于全部数据的综合情况；从未打算就任何降息的时间发出信号，在适当的时候会有降息的时机。
⑦美联储点阵图显示，预计2023年年底的联邦基金利率为5.6%，预计2024年年底的联邦基金利率为5.1%。
⑧美联储主席鲍威尔表示，美联储并未就利率是否具有足够限制性做出决策。
⑨美联储主席鲍威尔表示，强劲的经济活动是需要采取更多利率措施的主要原因；中性利率可能已经上升，中性利率可能高于长期利率。
⑩美联储主席鲍威尔表示，加息导致经济衰退“始终是一个担忧”。
二、美国经济：
①FOMC经济预期显示，上调美国2023年GDP增长预期至2.1%，上调美国2024年GDP增长预期至1.5%。
②FOMC经济预期显示，2023至2025年底核心PCE通胀预期中值分别为3.7%、2.6%、2.3%。
③FOMC经济预期显示，2023至2025年底失业率预期中值分别为3.8%、4.1%、4.1%。
④FOMC声明显示，经济活动增长稳健，重申信贷收紧可能会打压经济活动。
⑤美联储主席鲍威尔表示，美国实际GDP增长超出预期，GDP增长受到强劲的消费支出推动。
⑥美联储主席鲍威尔表示，美联储预计8月份核心PCE将同比上涨3.9%。
⑦美联储主席鲍威尔表示，降低通胀的前提是GDP增速一段时期内低于趋势水平。
⑧美联储主席鲍威尔表示，不会将软着陆称为基线预期，软着陆是有可能实现的，必须谨慎行事；软着陆是FOMC的主要目标。
⑨美联储主席鲍威尔表示，如果经济表现比预期更强劲，这意味着美联储将不得不采取更多措施来降低通胀。
⑩美联储主席鲍威尔表示，FOMC坚决致力于将通胀率降到2%。
三、金融市场：
①FOMC声明显示，美联储将继续保持国债和抵押贷款支持证券的减持速度不变。
②FOMC声明显示，美国银行体系稳健且具有弹性。
③美联储主席鲍威尔表示，紧缩政策的效果尚未完全显现，当前的货币政策立场具有限制性。
④美联储主席鲍威尔表示，长期收益率的上升主要与通胀预期无关，更多的是与经济增长和国债供应有关。
四、其他方面：
①美联储主席鲍威尔表示，政府停摆通常对宏观经济影响不大。
②美联储主席鲍威尔表示，FOMC绝对不会就汽车工人罢工表态。
③美联储主席鲍威尔表示，持续的高能源价格将影响通胀预期。
④美联储主席鲍威尔表示，倾向于忽略能源价格的短期波动，能源价格对经济走势没有太大的指示作用。
⑤美联储主席鲍威尔表示，住房供应受结构性限制。
⑥美联储主席鲍威尔表示，家庭和企业资产负债表比预期更强劲。",03:28:35,2023-09-21,美联储FOM,
,财联社9月21日电，美联储主席鲍威尔表示，中性利率可能更高，但我们还没有答案。,03:23:24,2023-09-21,,
美联储主席鲍威尔：如果经济强于预期 将采取更多措施来降低通胀,【美联储主席鲍威尔：如果经济强于预期 将采取更多措施来降低通胀】财联社9月21日电，美联储主席鲍威尔表示，任何有关未来降息的决定都将取决于经济的需求；如果经济强于预期，则意味着我们将不得不采取更多措施来降低通胀；加息导致经济衰退“总是一大担忧”。,03:17:36,2023-09-21,美联储主席鲍,
美联储主席鲍威尔：FOMC倾向于忽略短期能源价格波动,【美联储主席鲍威尔：FOMC倾向于忽略短期能源价格波动】财联社9月21日电，美联储主席鲍威尔表示，如果能源价格上涨并保持高位将影响支出，可能会影响通胀预期；FOMC倾向于忽略短期能源价格波动。,03:13:57,2023-09-21,美联储主席鲍,
美联储主席鲍威尔：FOMC已经在加息问题上走得非常远,【美联储主席鲍威尔：FOMC已经在加息问题上走得非常远】财联社9月21日电， 美联储鲍主席威尔表示，FOMC已经在加息问题上走得非常远；随着我们接近适宜的政策立场，风险变得更双向；紧缩过头和紧缩不足的风险“变得更加均衡”。,03:09:34,2023-09-21,美联储主席鲍,
在岸人民币兑美元较上一交易日夜盘收盘涨80点,【在岸人民币兑美元较上一交易日夜盘收盘涨80点】财联社9月21日电，在岸人民币兑美元北京时间03:00收报7.2890，较上一交易日夜盘收盘涨80点。成交量203.18亿美元。,03:07:57,2023-09-21,,
美联储主席鲍威尔：软着陆是FOMC的主要目标,【美联储主席鲍威尔：软着陆是FOMC的主要目标】财联社9月21日电，美联储主席鲍威尔表示，软着陆是FOMC的主要目标；经济似乎有强劲动力，但确实也面临着一系列风险。,03:04:08,2023-09-21,美联储主席鲍,
美联储主席鲍威尔：UAW罢工可能会影响产出、招聘和通胀,【美联储主席鲍威尔：UAW罢工可能会影响产出、招聘和通胀】财联社9月21日电，美联储主席鲍威尔表示，UAW罢工、政府关闭、恢复学生贷款支付、长期利率上升等都构成风险；UAW罢工可能会影响产出、招聘和通胀，取决于罢工持续时间；政府关门传统上不会产生太大的宏观影响。,03:03:44,2023-09-21,美联储主席鲍,
美联储主席鲍威尔：能源价格持续高位会影响通胀预期,【美联储主席鲍威尔：能源价格持续高位会影响通胀预期】财联社9月21日电，美联储主席鲍威尔表示，消费支出强劲在推动GDP增长；问题是GDP的热度是否会对2％的通胀构成威胁；能源价格持续高位会影响通胀预期；已经看到劳动力市场在再平衡，通胀在放缓；最近三个通胀数据“非常好”。,03:01:22,2023-09-21,美联储主席鲍,
,财联社9月21日电，阿根廷二季度失业率6.2%。,03:01:21,2023-09-21,,
美联储主席鲍威尔：无意发出任何降息时机的信号,【美联储主席鲍威尔：无意发出任何降息时机的信号】财联社9月21日电，美联储主席鲍威尔表示，我无意发出任何降息时机的信号，时机成熟了就会降息；降息决定的部分原因可能是实际利率上升，因为通胀正在下降。,02:58:49,2023-09-21,美联储主席鲍,
充分运用债务融资工具 券商今年以来发债融资已超1万亿元,【充分运用债务融资工具 券商今年以来发债融资已超1万亿元】财联社9月21日电，今年以来，在证券行业再融资放缓的趋势下，券商充分运用债务融资工具，通过发行普通公司债、次级债、短期融资券，已累计募资超万亿元。今年初，证监会倡导券商“聚焦主责主业，树牢合规风控意识，坚持稳健经营，走资本节约型、高质量发展的新路，发挥好资本市场‘看门人’作用”；8月27日，证监会发布统筹一二级市场平衡，优化IPO、再融资监管安排中提到，“对于金融行业上市公司或者其他行业大市值上市公司的大额再融资，实施预沟通机制，关注融资必要性和发行时机。”由此，今年以来尚无券商再融资有关事项落地。不过，8月份，证监会明确了“活跃资本市场，提振投资者信心”的一揽子举措，其中就提到“优化证券公司风控指标计算标准，适当放宽对优质证券公司的资本约束，提升资本使用效率。” (证券日报),02:57:47,2023-09-21,,
,财联社9月21日电，沙特下调对印度出口石油的溢价。,02:56:36,2023-09-21,,
阿塞拜疆总统就纳卡地区局势发表讲话,【阿塞拜疆总统就纳卡地区局势发表讲话】财联社9月21日电，阿塞拜疆总统阿利耶夫当地时间20日就纳卡地区局势发表电视讲话。阿利耶夫说，阿塞拜疆一天之内在纳卡地区行动中实现了所有目标，恢复了主权。大部分未撤出的亚美尼亚非法武装被摧毁。纳卡地区残余的非法武装已开始撤出战斗阵地并上缴武器。阿利耶夫表示，他派出的代表将在与亚美尼亚族人代表的会晤中，向对方阐述相关的“共存计划”。亚美尼亚方面暂未对阿利耶夫的讲话作出回应。,02:53:43,2023-09-21,,
美联储主席鲍威尔：不会将软着陆视为基线预期,【美联储主席鲍威尔：不会将软着陆视为基线预期】财联社9月21日电，美联储主席鲍威尔表示，不会将软着陆视为基线预期；软着陆是有可能实现的，必须谨慎行事。,02:51:51,2023-09-21,美联储主席鲍,
